Description,GTINShipDate,Quantity
40lb 70-80ct - CV,2/28/2017,0
40lb 70ct,2/28/2017,1
40lb 75ct,2/28/2017,2
40lb 90ct,2/28/2017,3
40lb Bonita (White),2/28/2017,3
40lb Bonita JBO,2/28/2017,0
40lb Fingerling,2/28/2017,2
40lb Jumbo,2/28/2017,4
40lb Marble Mix,2/28/2017,0
40lb Medium,2/28/2017,0
40lb Murasaki Med,2/28/2017,2
40lb No 1,2/28/2017,4
40lb No 2,2/28/2017,0
40lb Organic,2/28/2017,3
40lb Spc-Purple,2/28/2017,5
40lb Spec-Burgundy,2/28/2017,0
40lb Spec-Carolina Ruby,2/28/2017,0
500kg (150-300g),2/28/2017,1
500kg (220g-260g),2/28/2017,0
500kg (300-800g),2/28/2017,0
500kg Class 2,2/28/2017,1
500kg Field Run,2/28/2017,0
500kg Giant,2/28/2017,0
500kg Pickouts,2/28/2017,0
500kg Spc - Purple ,2/28/2017,0
500kg Spc-Purple Mix,2/28/2017,0
"55"" Bin Giant",2/28/2017,7
6kg (150-300g),2/28/2017,0
6kg (300-450g)L1,2/28/2017,1
6kg (450-600g)L2,2/28/2017,0
6kg (600-800g),2/28/2017,1
8/3lb Bags,2/28/2017,2
HP StkHse (12-16oz),2/28/2017,1
Micro - 6Kg (24ct),2/28/2017,4
Micro 20lb 25ct,2/28/2017,0
Micro 20lb 30ct,2/28/2017,2
Murasaki Small Plastic,2/28/2017,0
Pickouts - Plastic,2/28/2017,0
Tray Pack - 4 pk 12 ct,2/28/2017,3
Unused,2/28/2017,0
10lb #1,3/31/2017,0
12/3lb Bags,3/31/2017,7
12ct Steam Bags,3/31/2017,0
18kg (100-150g),3/31/2017,1
18kg (150-300g),3/31/2017,0
18kg (220-260g),3/31/2017,0
18kg (300-450g),3/31/2017,0
18kg (600-800g),3/31/2017,0
20lb #1,3/31/2017,0
20lb No.1 (20ct),3/31/2017,1
20lb Purple,3/31/2017,0
20lb Spec - Bonita No 1,3/31/2017,2
"36""Pickouts(2.5""-4.5"")",3/31/2017,4
40lb #1 Sysco/FP,3/31/2017,0
40lb 100ct,3/31/2017,0
40lb 110ct,3/31/2017,0
40lb 120ct - CV,3/31/2017,0
40lb 25-28ct - CV,3/31/2017,1
40lb 33ct,3/31/2017,5
40lb 35ct Sysco/FP,3/31/2017,0
40lb 38-40ct,3/31/2017,2
40lb 38-40ct - CV,3/31/2017,2
40lb 40-50ct - CV,3/31/2017,1
40lb 45ct,3/31/2017,10
40lb 50ct,3/31/2017,11
40lb 55-65ct - CV,3/31/2017,0
40lb 55ct,3/31/2017,7
40lb 65-85ct,3/31/2017,0
40lb 65ct,3/31/2017,3
40lb 65ct Sysco/FP,3/31/2017,4
40lb 70-80ct - CV,3/31/2017,1
40lb 70ct,3/31/2017,1
40lb 75ct,3/31/2017,3
40lb 90ct,3/31/2017,3
40lb Bonita (White),3/31/2017,4
40lb Bonita JBO,3/31/2017,1
40lb Fingerling,3/31/2017,5
40lb Jumbo,3/31/2017,4
40lb Marble Mix,3/31/2017,2
40lb Medium,3/31/2017,0
40lb Murasaki Med,3/31/2017,3
40lb No 1,3/31/2017,4
40lb No 2,3/31/2017,0
40lb Organic,3/31/2017,4
40lb Spc-Purple,3/31/2017,6
40lb Spec-Burgundy,3/31/2017,0
40lb Spec-Carolina Ruby,3/31/2017,3
500kg (150-300g),3/31/2017,4
500kg (220g-260g),3/31/2017,0
500kg (300-800g),3/31/2017,9
500kg Class 2,3/31/2017,1
500kg Field Run,3/31/2017,3
500kg Giant,3/31/2017,4
500kg Pickouts,3/31/2017,0
500kg Spc - Purple ,3/31/2017,0
500kg Spc-Purple Mix,3/31/2017,0
"55"" Bin Giant",3/31/2017,13
6kg (150-300g),3/31/2017,0
6kg (300-450g)L1,3/31/2017,2
6kg (450-600g)L2,3/31/2017,2
6kg (600-800g),3/31/2017,3
8/3lb Bags,3/31/2017,3
HP StkHse (12-16oz),3/31/2017,3
Micro - 6Kg (24ct),3/31/2017,3
Micro 20lb 25ct,3/31/2017,0
Micro 20lb 30ct,3/31/2017,4
Murasaki Small Plastic,3/31/2017,0
"Murasaki(1.5""-3.5"") Plastic",3/31/2017,1
Pickouts - Plastic,3/31/2017,0
Tray Pack - 4 pk 12 ct,3/31/2017,3
Unused,3/31/2017,0
10lb #1,4/30/2017,0
12/3lb Bags,4/30/2017,9
